date,open,high,low,close,volume,prior_252_high,breakout_close_ge,vol_sma20,volume_ok,atr14_sma,atr14_wilder,nifty_close,market_ok,labs_buy_signal
2025-09-01,2786.0,2818.5,2757.1,2808.5,89303.0,3515.7,0,131265.35,0,88.57142857142864,87.20879104344068,22713.55,,0
2025-09-02,2806.0,2828.8,2739.1,2752.2,74423.0,3515.7,0,129953.5,0,80.67142857142865,87.3867345403378,22724.4,,0
2025-09-03,2749.0,2784.0,2700.0,2776.9,128841.0,3515.7,0,131885.9,0,79.89285714285721,87.14482493031367,22864.65,,0
2025-09-04,2789.5,2883.4,2752.7,2851.8,142671.0,3515.7,0,132808.75,1,82.45000000000007,90.25590886386271,22819.65,,0
2025-09-05,2845.0,2849.7,2755.0,2770.3,64535.0,3515.7,0,132174.75,0,81.22142857142866,90.72334394501539,22829.15,,0
2025-09-08,2821.0,2835.0,2758.1,2819.1,69313.0,3515.7,0,132818.2,0,80.72857142857151,89.73596223465715,22878.65,,0
2025-09-09,2819.0,2824.9,2780.0,2820.6,55776.0,3515.7,0,128534.2,0,77.39285714285724,86.53339350361021,22949.1,,0
2025-09-10,2820.0,2855.9,2801.6,2837.5,50689.0,3515.7,0,110001.7,0,76.39285714285724,84.23100825335236,23074.15,,0
2025-09-11,2837.0,2879.0,2817.8,2863.8,46536.0,3515.7,0,106486.05,0,76.90714285714294,82.58593623525574,23102.65,,0
2025-09-12,2854.6,2854.6,2757.1,2774.0,120444.0,3515.7,0,106665.8,1,78.88571428571439,84.30836936130892,23190.25,,0
2025-09-15,2784.0,2785.1,2739.3,2755.2,50360.0,3515.7,0,99723.35,0,76.27142857142864,81.55777154978684,23215.85,,0
2025-09-16,2760.9,2769.9,2727.5,2738.2,56908.0,3515.7,0,96181.45,0,73.4142857142858,78.76078786765922,23369.3,,0
2025-09-17,2742.0,2768.0,2731.9,2742.0,182307.0,3515.7,0,99562.8,1,71.19285714285722,75.713588734255,23445.2,,0
2025-09-18,2751.0,2775.0,2719.9,2755.4,110262.0,3515.7,0,99579.65,1,70.42857142857149,74.24118953895106,23518.9,,0
2025-09-19,2767.5,2767.5,2730.0,2741.1,85057.0,3515.7,0,101861.1,0,68.72142857142863,71.61681885759741,23486.65,,0
2025-09-22,2754.0,2779.6,2725.3,2762.3,81247.0,3515.7,0,99300.45,0,66.19285714285716,70.37990322491186,23381.45,,0
2025-09-23,2764.0,2780.0,2730.6,2761.7,68393.0,3515.7,0,93705.3,0,63.721428571428596,68.88133870884674,23325.25,,0
2025-09-24,2758.0,2765.0,2735.2,2746.4,37974.0,3515.7,0,86589.2,0,56.514285714285734,66.0898145153577,23178.25,,0
